x_1,x_2,Class_label
604.173167,-260.141416,1
-100.302856,27.1587878,0
410.315318,-241.972727,1
-187.186833,4.14723519,0
-47.3288552,48.968202,0
-167.270654,10.8158193,0
-161.367035,27.1355839,0
359.941882,-222.263365,1
-101.694321,-233.102624,2
544.85996,-242.852616,1
-59.3639152,42.5104417,0
-140.013476,25.0415192,0
-129.475552,25.2638757,0
-199.569001,-262.044862,2
-84.3087381,-226.491392,2
-138.790325,28.8459831,0
-196.824871,-247.763728,2
-231.064147,-260.320481,2
-197.763905,9.59302302,2
85.9663503,-202.236291,2
-217.165626,-239.708124,2
-210.663554,-258.658541,2
534.509186,-247.750147,1
505.622117,-243.781233,1
622.808022,-250.381663,1
544.273748,-240.920869,2
-83.9656548,-229.303233,2
422.487877,-235.464466,1
-28.7946842,45.4090382,0
-168.540384,20.4913047,0
-135.127046,-226.653268,2
-185.883597,5.56054151,0
-172.386451,-251.53736,2
499.086779,-249.909322,1
389.07668,-216.454386,1
0.0136916287,-209.244875,2
-269.462673,-265.328286,0
578.516953,-258.742489,1
-196.463598,-255.430685,2
-82.7945652,45.051871,0
345.467188,-215.128356,1
487.400905,-236.474536,1
508.552149,-243.519651,1
-103.707732,39.7654364,2
-156.939389,14.4093746,2
-60.6056153,-211.439169,2
472.959188,-242.004368,1
-150.824332,22.7884939,0
-152.531841,-250.402324,0
-97.3080035,-228.275016,2
366.182544,-220.989921,1
-128.946633,27.470075,0
-190.539063,-229.323076,0
-71.3147885,-233.509034,1
349.795435,-223.431457,1
-48.4542513,-216.233392,2
-29.8948415,-213.395808,2
-22.7918219,-215.458365,2
-141.16908,-226.424248,2
642.210096,-266.400907,0
-304.725959,-267.939121,2
-178.808077,-238.459865,2
479.031883,-233.486458,1
-76.0012872,34.7907146,1
-143.323808,17.9489568,0
-138.015054,26.0688976,0
-271.385694,-260.828884,2
457.641429,-237.948782,1
-229.202249,-267.269739,2
-32.6485767,-212.063902,2
-97.8478393,38.3915394,0
-110.420777,35.4102122,0
-41.7500217,-218.729485,2
588.69965,-255.806435,1
-160.672006,-224.958599,2
-327.782386,-271.185256,2
-156.619739,-252.37826,2
378.54318,-215.359452,1
389.882234,-222.157334,1
-150.999315,32.723744,0
-106.748662,33.7948068,0
-71.9642341,42.3833569,0
-94.4360288,24.4454591,0
414.153958,-215.879084,1
-288.084509,-260.96456,0
-112.690046,26.6344554,0
-125.266914,-243.535755,2
-55.3107494,-239.34779,2
-174.654584,5.20571941,0
432.817414,-246.941177,0
-130.628829,23.4052532,0
-42.6615943,-211.96335,0
-154.968133,-241.280438,2
-105.194776,26.6147721,0
519.603525,-249.172017,1
